date,product_id,category,store,price,competitor_price,demand,actual_sales,inventory_level,revenue,profit,is_weekend,is_holiday,seasonal_factor,marketing_spend,weather_impact,price_elasticity
2022-01-01,PROD_0001,Electronics,Premium_Store,701.53,641.01,71.0,71.0,264,49517.09,19806.84,True,False,1.005,201.12,1.032,-1.2
2022-01-08,PROD_0001,Electronics,Premium_Store,679.56,699.88,91.0,91.0,326,61784.61,24713.84,True,False,1.041,0.0,0.947,-1.2
2022-01-15,PROD_0001,Electronics,Premium_Store,614.38,622.19,81.0,81.0,495,49760.97,19904.39,True,False,1.077,72.2,0.984,-1.2
2022-01-22,PROD_0001,Electronics,Premium_Store,736.07,657.21,60.0,60.0,102,43936.98,17574.79,True,False,1.111,27.58,1.095,-1.2
2022-01-29,PROD_0001,Electronics,Premium_Store,625.3,752.76,100.0,99.0,99,61904.31,24761.72,True,False,1.144,0.0,0.884,-1.2
2022-02-05,PROD_0001,Electronics,Premium_Store,606.73,522.62,93.0,93.0,353,56431.96,22572.79,True,False,1.174,0.0,1.088,-1.2
2022-02-12,PROD_0001,Electronics,Premium_Store,718.71,822.64,86.0,86.0,416,62041.41,24816.57,True,False,1.202,0.0,1.066,-1.2
2022-02-19,PROD_0001,Electronics,Premium_Store,691.28,592.76,58.0,58.0,114,40308.78,16123.51,True,False,1.227,55.06,0.961,-1.2
2022-02-26,PROD_0001,Electronics,Premium_Store,617.32,598.28,64.0,64.0,468,39480.06,15792.02,True,False,1.249,0.0,0.909,-1.2
2022-03-05,PROD_0001,Electronics,Premium_Store,619.57,609.47,90.0,90.0,467,55818.59,22327.44,True,False,1.268,46.33,1.098,-1.2
2022-03-12,PROD_0001,Electronics,Premium_Store,856.42,730.18,80.0,80.0,276,68580.95,27432.38,True,False,1.282,124.91,0.832,-1.2
2022-03-19,PROD_0001,Electronics,Premium_Store,988.92,749.97,59.0,59.0,64,57970.78,23188.31,True,False,1.292,57.86,0.908,-1.2
2022-03-26,PROD_0001,Electronics,Premium_Store,700.28,642.63,86.0,86.0,456,59948.96,23979.58,True,False,1.298,0.0,1.058,-1.2
