episode,reward,revenue,profit
0,312087.4868626409,912891.31706301,365156.52682520373
1,307689.9877325056,920443.1693270754,368177.26773083
2,302982.0325979063,920380.1044147174,368152.04176588653
3,305458.3622879881,921400.2518918286,368560.1007567309
4,305066.93617975916,919309.0555461621,367723.6222184644
5,306429.7465922366,921087.4104618729,368434.9641847487
6,306429.7465922366,921087.4104618729,368434.9641847487
7,306429.7465922366,921087.4104618729,368434.9641847487
8,306429.7465922366,921087.4104618729,368434.9641847487
9,306429.7465922366,921087.4104618729,368434.9641847487
10,306429.7465922366,921087.4104618729,368434.9641847487
11,306429.7465922366,921087.4104618729,368434.9641847487
12,306754.0614592585,919952.7472120556,367981.0988848218
13,306429.7465922366,921087.4104618729,368434.9641847487
14,306429.7465922366,921087.4104618729,368434.9641847487
15,306429.7465922366,921087.4104618729,368434.9641847487
16,307263.9340558919,917701.8175005071,367080.72700020246
17,306429.7465922366,921087.4104618729,368434.9641847487
18,306429.7465922366,921087.4104618729,368434.9641847487
19,306429.7465922366,921087.4104618729,368434.9641847487
20,306338.3960619965,920801.9400548724,368320.7760219485
21,306590.6856268417,921590.3449450138,368636.13797800505
22,306429.7465922366,921087.4104618729,368434.9641847487
23,306460.2001178114,923923.5668252141,369569.4267300853
24,307474.4645991431,922925.7950446557,369170.3180178618
25,306429.7465922366,921087.4104618729,368434.9641847487
26,306429.7465922366,921087.4104618729,368434.9641847487
27,303226.7094412186,918380.31041671,367352.1241666835
28,306429.7465922366,921087.4104618729,368434.9641847487
29,306884.4854081184,919882.6220651575,367953.0488260626
30,306429.7465922366,921087.4104618729,368434.9641847487
31,306429.7465922366,921087.4104618729,368434.9641847487
32,307571.90978915844,922954.5876836373,369181.8350734545
33,306429.7465922366,921087.4104618729,368434.9641847487
34,306429.7465922366,921087.4104618729,368434.9641847487
35,306429.7465922366,921087.4104618729,368434.9641847487
36,306429.7465922366,921087.4104618729,368434.9641847487
37,307188.2918587024,920382.014108019,368152.80564320716
38,306429.7465922366,921087.4104618729,368434.9641847487
39,306280.5217850133,920621.0829392999,368248.4331757195
40,306429.7465922366,921087.4104618729,368434.9641847487
41,306429.7465922366,921087.4104618729,368434.9641847487
42,306429.7465922366,921087.4104618729,368434.9641847487
43,311787.8837007413,923721.2077562459,369488.48310249805
44,311570.74579937855,923042.6518144874,369217.0607257947
